O*NET-SOC CODE	TITLE	DESCRIPTION
19-1013.01	Científicos de la flora	Realizan investigaciones sobre el cultivo, producción y rendimiento de las plantas o los cultivos así como también sobre el control de plagas.
19-1013.02	Científicos de suelos	Realizan investigaciones o estudios sobre las características del suelo, clasifican diferentes tipos de suelo e investigan las reacciones del suelo a prácticas conocidas de manejo del mismo para determinar la capacidad de su uso y los efectos de prácticas alternas en la productividad del mismo.
19-1020.01	Biólogos	Realizan investigaciones o estudios sobre los principios básicos de la flora y de la fauna, tal como su origen, relación, desarrollo, anatomía y funciones.
19-1021.00	Bioquímicos y biofísicos	Estudian la composición química y los principios físicos de las células y organismos vivos, su energía eléctrica y mecánica, y fenómenos conexos.  Pueden realizar investigaciones para obtener una mayor comprensión de las complejas combinaciones y reacciones químicas que tienen lugar en el metabolismo la reproducción, el crecimiento y la herencia. Pueden determinar los efectos de alimentos, medicamentos, sueros, hormonas y otras sustancias sobre los tejidos y los procesos vitales de los organismos vivos.
19-1021.01	Bioquímicos	Realizan investigaciones o estudios sobre la composición química y sobre los procesos de organismos vivientes que afectan a los procesos vitales, como el crecimiento y el envejecimiento.  El objeto es el de determinar las acciones químicas y los efectos en los organismos, tales como la acción de la comida, drogas u otras substancias en las funciones del cuerpo y de los tejidos.
19-1021.02	Biofísicos	Realizan investigaciones o estudios sobre los principios físicos de las células y de los organismos vivos, su energía eléctrica, mecánica y los fenómenos relacionados.
19-1022.00	Microbiólogos	Investigan el crecimiento, la estructura, el desarrollo y otras características de organismos microscópicos como bacterias, algas y hongos. Se incluye a los microbiólogos médicos que estudian las relaciones  entre los organismos y las enfermedades o los efectos de los antibióticos sobre los microorganismos.
19-1023.00	Zoólogos y biólogos de la flora y la fauna naturales	Estudian los orígenes, comportamientos, enfermedades, genética y procesos vitales de la flora y la fauna. Pueden especializarse en investigaciones y manejo de la flora y la fauna, incluida la recopilación y análisis de datos biológicos para determinar los efectos ambientales del uso actual y futuro de determinadas áreas de tierra y agua.
19-1029.99	Otros profesionales de las ciencias biológicas	Todos los profesionales de las ciencias biológicas no clasificados bajo otros epígrafes.
19-1031.00	Profesionales de las ciencias ecológicas	Manejan, mejoran y protegen los recursos naturales para hacer uso máximo de ellos sin dañar el medio ambiente. Pueden llevar a cabo estudios edafológicos y desarrollar planes para eliminar la erosión de los suelos o proteger las praderas contra fuegos y daños ocasionados por roedores. Pueden instruir a los granjeros, administradores de producción agrícola y rancheros acerca de las mejores maneras de emplear la rotación de cultivos, la arada en curva de nivel y el terraceo o construcción de bancales para conservar los suelos y el agua; del número y tipo de ganado y plantas de forraje más adecuados para pastizales determinados; y de las mejoras a los pastizales y las granjas, tales como cercados y embalses para almacenar agua.
19-1031.01	Preservadores de suelos	Planean y desarrollan prácticas coordinadas para el control de la erosión del suelo, para la conservación del agua y del suelo y para el uso correcto de la tierra.
19-1031.02	Guardabosques	Realizan investigaciones o estudios sobre las prácticas de manejo de una zona de distribución para proporcionar una producción continua de forraje, ganado y fauna.
19-1031.03	Naturalistas/ecologistas de parques	Planean, desarrollan y realizan programas para informar al público sobre los aspectos históricos, naturales y científicos de los parques nacionales, estatales o locales.
19-1032.00	Profesionales de las ciencias forestales	Manejan las tierras boscosas con fines económicos, recreativos y ecológicos. Pueden inventariar el tipo, la cantidad y la ubicación de madera en pie, tasar el valor de la madera, negociar la compra y elaborar contratos de adquisición. Pueden determinar el modo de conservar el hábitat de la flora y la fauna, los lechos de los arroyos, la calidad del agua y la estabilidad de los suelos y la mejor manera de cumplir con los reglamentos ambientales. Pueden elaborar planes para sembrar y cultivar nuevos árboles, vigilar su crecimiento para garantizar que sean saludables y determinar el mejor tiempo para la tala.  Desarrollan planes de gestión para tierras boscosas de propiedad pública o privada.
19-1041.00	Epidemiólogos	Investigan y describen las determinantes y la distribución de enfermedades, discapacidades y otras consecuencias para la salud y desarrollan los medios para su prevención y control.
19-1042.00	Profesionales de las ciencias médicas, excepto epidemiólogos	Llevan a cabo investigaciones relacionadas con la comprensión de las enfermedades humanas y el mejoramiento de la salud humana.  Emprenden investigaciones clínicas o de otra índole, así como actividades de producción, autoría de obras de naturaleza técnica y conexas.
19-1099.00	Otros biólogos, botánicos, zoólogos y afines	Todos los biólogos, botánicos, zoólogos y afines no clasificados bajo otros epígrafes.
19-2011.00	Astrónomos	Observan, investigan e interpretan los fenómenos celestiales y astronómicos para aumentar los conocimientos básicos y aplicar esa información a problemas prácticos.
19-2012.00	Físicos	Realizan investigaciones sobre las fases de los fenómenos físicos, desarrollan teorías y leyes basándose en la observación y la experimentación, e idean métodos para aplicar las leyes y las teorías a la industria y otros campos.
19-2021.00	Profesionales de las ciencias atmosféricas y espaciales	Investigan fenómenos atmosféricos e interpretan datos meteorológicos recopilados por estaciones terrestres y aéreas, satélites y radares con el fin de elaborar informes y pronósticos para usos públicos y de otra índole.
19-2031.00	Químicos	Realizan análisis químicos cualitativos y cuantitativos o experimentos químicos en laboratorios para el control de calidad o de los procesos o con el fin de desarrollar nuevos productos u obtener conocimientos.
19-2032.00	Profesionales de las ciencias de los materiales	Investigan y estudian las estructuras y las propiedades químicas de diversos materiales naturales y antropogénicos, incluidos metales, aleaciones, caucho, cerámica, semiconductores, polímeros y vidrio.  Determinan maneras de fortalecer y combinar materiales o desarrollar otros materiales con propiedades nuevas para su empleo en diversos productos y aplicaciones.
19-2041.00	Profesionales y especialistas de las ciencias ecológicas, incluida la salud	Realizan investigaciones con el fin de identificar, reducir o eliminar las fuentes de contaminantes o  de materiales peligrosos que afectan ya sea el medio ambiente o la salud de la población. Empleando los conocimientos de diversas disciplinas científicas, pueden recopilar, sintetizar, estudiar, elaborar informes o emprender medidas sobre la base de datos obtenidos a partir de determinaciones u observaciones del aire, alimentos, suelos, agua y otras fuentes.
19-2042.00	Profesionales de las ciencias geológicas, excepto hidrólogos y geógrafos	Estudian la composición, estructura y demás aspectos físicos de la tierra. Pueden emplear conocimientos geológicos, físicos y matemáticos en la prospección de petróleo, gas, minerales y aguas subterráneas; y en la eliminación de desechos, la recuperación de tierras u otros problemas ambientales. Pueden estudiar la composición interna de la tierra, atmósferas, océanos y sus fuerzas magnéticas, eléctricas y gravitacionales. Se incluye a minerálogos, cristalógrafos, paleontólogos, estratígrafos, geodesas y sismólogos.
19-2042.01	Geólogos	Estudian la composición, la estructura y la historia de la corteza terrestre. Examinan las rocas, los minerales y los restos fósiles para identificar y determinar la secuencia de los procesos que afectan el desarrollo de la tierra. Aplican conocimientos de química, física, biología y de matemáticas para explicar estos fenómenos y para ayudar a encontrar depósitos de minerales y petróleo y fuentes de agua subterránea. Preparan informes y mapas geológicos e interpretan los datos obtenidos a través de la investigación para así recomendar estudios futuros complementarios.
19-2043.00	Hidrólogos	Investigan la distribución, la circulación y las propiedades físicas de las aguas subterráneas y superficiales, estudian la forma e intensidad de las precipitaciones, la velocidad de infiltración en el suelo, el movimiento a través de la tierra y la vuelta al océano y la atmósfera.
19-2099.99	Otros físicos	Todos los profesionales de la ciencias físicas no clasificados bajo otros epígrafes.
19-3011.00	Economistas	Realizan investigaciones, elaboran informes o formulan planes para contribuir a la solución de problemas económicos que se derivan de la producción y distribución de bienes y servicios. Pueden recopilar y procesar datos económicos y estadísticos empleando técnicas econométricas y de muestreo.
19-3021.00	Analistas de investigaciones de mercado	Investigan las condiciones del mercado en zonas locales, regionales o nacionales para determinar las posibilidades de venta de un producto o servicio. Pueden recopilar información sobre competidores, precios, ventas, métodos de comercialización y distribución. Pueden utilizar los resultados de las encuestas para crear una campaña de comercialización basada en preferencias y hábitos de compra regionales.
19-3022.00	Investigadores de encuestas	Diseñan y realizan encuestas. Pueden supervisar a los entrevistadores que llevan a cabo la encuesta en persona o por teléfono. Pueden presentar los resultados al cliente.
19-3031.00	Psicólogos clínicos, orientadores y psicopedagogos	Diagnostican y tratan trastornos mentales, discapacidades del aprendizaje y problemas cognitivos, conductuales y emocionales empleando la terapia individual, infantil, familiar y de grupo. Pueden diseñar y aplicar programas de modificación de la conducta.
19-3031.01	Psicólogos especializados en pedagogía/educación	Investigan los procesos de aprendizaje y de enseñanza, desarrollan principios y técnicas de psicología que se pueden aplicar a problemas relacionados con la educación.
19-3031.02	Psicólogos clínicos	Diagnostican o evalúan los desórdenes mentales y emocionales de los individuos a través de observación, entrevistas y exámenes psicológicos. Preparan y administran programas para tratamientos.
19-3031.03	Psicólogos/consejeros	Determinan y evalúan los problemas de los individuos a través del historial clínico, de entrevistas y observación. Proporcionan terapia individual o en grupo para ayudar a las personas a alcanzar un desarrollo y una adaptación más eficaz ya sea a nivel personal, social, educativo o profesional.
19-3032.00	Psicólogos industriales y organizativos	Aplican los principios de la psicología a problemas de personal, administrativos, de gestión, ventas y comercialización.  Entre sus actividades se incluye la planificación de políticas, selección, capacitación y desarrollo del personal, desarrollo y análisis de la organización. Pueden trabajar con la administración en la reorganización del entorno de trabajo para mejorar la productividad laboral.
19-3039.99	Otros psicólogos	Todos los psicólogos no clasificados bajo otros epígrafes.
19-3041.00	Sociólogos	Estudian la sociedad humana y la conducta social mediante el examen de los grupos y las instituciones sociales que forman las personas, así como de las diversas organizaciones sociales, religiosas políticas y comerciales. Pueden estudiar el comportamiento y la interacción de los grupos, rastrear sus orígenes y crecimiento, y analizar la influencia de las actividades del grupo sobre cada uno de sus miembros.
19-3051.00	Planificadores urbanos y regionales	Desarrollan planes y programas integrales para el empleo de los terrenos y las instalaciones físicas de jurisdicciones locales, como pueblos, ciudades, condados y áreas metropolitanas.
19-3091.00	Antropólogos y arqueólogos	Estudian el origen, desarrollo y comportamiento de los seres humanos.  Pueden estudiar el modo de vida, el lenguaje y las características físicas de personas que existen en diversas partes del mundo. Pueden dedicarse a la recuperación y examen sistemáticos de restos materiales, tales como herramientas o alfarería de pasadas culturas humanas, a fin de determinar la historia, costumbres y hábitos de vida de civilizaciones anteriores.
19-3091.01	Antropólogos	Realizan investigaciones o estudios sobre los orígenes, el desarrollo y el comportamiento físico, social y cultural de los humanos y además de las culturas y de las organizaciones que han creado.
19-3091.02	Arqueólogos	Realizan investigaciones para reconstruir la información sobre el pasado de la vida y cultura de la humanidad a partir de restos humanos, artefactos, detalles arquitectónicos y de estructuras recuperadas a través de excavaciones o que se encontraban sumergidas, u otros medios que permitan su descubrimiento.
19-3092.00	Geógrafos	Estudian la naturaleza y empleo de zonas de la superficie terrestre, relacionando e interpretando las interacciones de los fenómenos físicos y culturales. Realizan investigaciones sobre los aspectos físicos de una región, incluidas las formas terrestres, climas, suelos, flora y fauna, y sobre las implicaciones espaciales de las actividades humanas en una zona dada, incluidas las características sociales, las actividades económicas y la organización política, así como la interdependencia entre regiones  a escalas que van de la local a la mundial.
19-3093.00	Historiadores	Investigan, analizan, registran e interpretan el pasado como figura registrado en fuentes tales como documentos oficiales y registros institucionales, la prensa noticiosa y otras publicaciones periódicas, fotografías, entrevistas, películas y manuscritos no publicados, tales como diarios personales y cartas.
19-3094.00	Profesionales de las ciencias políticas	Estudian el origen, desarrollo y funcionamiento de los sistemas políticos.  Investigan acerca de una amplia diversidad de temas, tales como las relaciones entre los Estados Unidos y los países extranjeros, las creencias e instituciones de las naciones extranjeras, o la vida política de los poblados o de las grandes metrópolis. Pueden estudiar temas tales como la opinión pública, la formulación de decisiones políticas y la ideología. Pueden analizar la estructura y funcionamiento de los gobiernos, así como de diversas entidades políticas. Pueden realizar encuestas de opinión, analizar los resultados de elecciones y estudiar documentos públicos.
19-3099.99	Otros profesionales de las ciencias sociales y afines	Todos los profesionales de las ciencias sociales y afines no clasificados bajo otros epígrafes.
19-4011.00	Técnicos en ciencias agropecuarias y alimentarias	Trabajan con los profesionales de las ciencias agropecuarias en investigaciones, producción y procesamiento de alimentos, fibras y animales;  ayudan en las labores de cría y alimentación de animales; bajo supervisión, realizan ensayos y experimentos para mejorar los rendimientos y la calidad de los cultivos o para aumentar la resistencia de las plantas y animales a las enfermedades y los insectos. Se incluye a los técnicos que ayudan a los profesionales de las ciencias alimentarias o a los tecnólogos en alimentos en las investigaciones, desarrollo y tecnología de la producción, control de calidad, envase, procesamiento y utilización de los alimentos.
19-4011.01	Técnicos en agricultura	Organizan y tienen el laboratorio en buenas condiciones; recopilan y llevan un registro de los datos para asistir a biólogos en experimentos relacionados con la agricultura.
19-4011.02	Técnicos en alimentos	Realizan pruebas cualitativas y cuantitativas basados en normas establecidas para determinar las propiedades físicas o químicas de los productos alimenticios o de las bebidas.
19-4021.00	Técnicos en biología	Ayudan a los profesionales de las ciencias médicas y biológicas en los laboratorios. Disponen, operan y dan mantenimiento al instrumental y a los equipos de laboratorio, siguen los experimentos, hacen observaciones y calculan y registran los resultados. Pueden analizar sustancias orgánicas, tales como sangre, alimentos y drogas.
19-4031.00	Técnicos químicos	Llevan a cabo ensayos de laboratorio químicos y físicos para ayudar a los profesionales en el análisis cualitativo y cuantitativo de materiales sólidos,  líquidos y gaseosos para diversos fines como la investigación y desarrollo de nuevos productos o procesos, control de calidad, mantenimiento de las normas ambientales y otras labores que requieran la aplicación experimental, teórica y práctica de las ciencias químicas y otras conexas.
19-4041.00	Técnicos en geología y petróleo	Ayudan a los Profesionales de las el empleo de instrumentos de medición eléctricos, sónicos o nucleares  en las actividades de laboratorio y de producción a fin de obtener datos que indiquen las posibles fuentes de minerales metálicos, gas o petróleo. Analizan el fango y los detritos de la perforación. Registran gráficamente la presión, la temperatura y otras características de pozos y perforaciones. Investigan y recopilan información que conduzca al posible descubrimiento de nuevos campos petrolíferos.
19-4041.01	Técnicos especialistas en información geológica	Calculan, llevan un registro y evalúan los datos geológicos utilizando instrumentos sónicos, electrónicos, eléctricos, sísmicos y gravimétricos para detectar gas o petróleo. Pueden recopilar y evaluar las muestras o cortes del suelo.
19-4041.02	Técnicos especialistas en pruebas de muestras geológicas	Realizan pruebas y analizan las muestras geológicas, como el petróleo crudo o derivados de éste, para detectar la presencia de depósitos de petróleo, de gas o de minerales e indican el potencial de exploración y producción.  Además determinan las propiedades físicas y químicas para garantizar que los productos cumplan con las normas de calidad.
19-4051.00	Técnicos nucleares	Ayudan a los profesionales de las actividades de laboratorio y producción realizando labores técnicas que se relacionen con la física nuclear, fundamentalmente en lo tocante a las actividades de apoyo a las operaciones, el mantenimiento, la producción y el control de calidad.
19-4051.01	Técnicos que manejan equipo nuclear	Manejan el equipo que se utiliza para liberar, controlar y utilizar la energía nuclear para de esta manera asistir a los científicos en las actividades de producción y en las relacionadas con un laboratorio.
19-4051.02	Técnicos para el control nuclear	Recopilan y realizan pruebas a las muestras obtenidas para controlar los resultados de experimentos nucleares y vigilar los niveles de contaminación en humanos, instalaciones y el medio ambiente.
19-4061.00	Asistentes de investigación en ciencias sociales	Ayudan a los profesionales de las ciencias sociales en las investigaciones de laboratorio, encuestas y demás investigaciones sociales. Pueden realizar actividades de publicación, análisis de laboratorio, control de calidad y gestión de datos.  Normalmente, esas personas trabajan bajo supervisión directa de un profesional de las ciencias sociales y ayudan en las actividades más rutinarias.
19-4061.01	Asesores de planeación urbana	Recopilan datos de diferentes fuentes, como mapas, informes e investigaciones de archivos y de campo, para que el urbanista utilice esta información cuando realice estudios de planeación.
19-4091.00	Técnicos en ciencias ambientales y protección del medio ambiente, incluida la salud	Realizan pruebas de laboratorio y de terreno para vigilar el medio ambiente e investigar las fuentes de contaminación, incluidas las que afectan la salud. Bajo la dirección de un profesional o un especialista en medio ambiente, pueden tomar muestras de gases, suelos, agua y otros materiales para someterlos a pruebas y emprender las medidas correctivas según se les indique.
19-4092.00	Técnicos en ciencias forenses	Recopilan, identifican, clasifican y analizan pruebas relacionadas con investigaciones criminales. Realizan pruebas con armas y sustancias tales como fibras, cabello y tejidos para determinar su importancia  para la investigación. Pueden prestar testimonio como testigos expertos sobre técnicas de laboratorio de criminología o pruebas. Pueden actuar como especialistas en sus esferas de competencia como balística, huellas dactilares, caligrafía o bioquímica.
19-4093.00	Técnicos en silvicultura y conservación forestal	Recopilan datos relativos a dimensiones, contenido, estado y otras características de zonas boscosas, bajo la dirección de silvicultores; forman y dirigen a los trabajadores forestales en la propagación de bosques, la prevención y la supresión de incendios. Pueden ayudar a los profesionales de las ciencias ecológicas en el manejo, mejoramiento y protección de praderas y el hábitat de la flora y la fauna, y contribuir a proporcionar asistencia técnica relativa a la conservación de los suelos, el agua y otros recursos naturales afines.
19-4099.99	Otros técnicos de las ciencias biológicas, físicas y sociales	Todos los técnicos de las ciencias biológicas, físicas y sociales no clasificados bajo otros epígrafes.
21-1011.00	Orientadores para toxicomanía y trastornos de conducta	Orientan y aconsejan a personas con problemas de alcoholismo, tabaquismo, toxicomanía y otros, tales como adicción a los juegos de azar y trastornos de la ingestión.  Pueden proporcionar orientación individual, familiar y grupal, y participar en programas de prevención.
21-1012.00	Orientadores educacionales, profesionales y escolares	Proporcionan orientación individual y prestan servicios de orientación educacional y profesional a grupos.
21-1013.00	Especialistas en terapia matrimonial y familiar	Diagnostican y tratan trastornos mentales y emocionales, sean cognitivos, afectivos o conductuales, en el contexto de los sistemas matrimoniales y familiares. Aplican teorías y técnicas psicoterapéuticas y de sistemas familiares en la prestación de servicios individuales, a parejas y familias con el fin de tratar los trastornos mentales y nerviosos que se diagnosticaron.
21-1014.00	Orientadores de salud mental	Orientan con énfasis en la prevención. Trabajan con personas por separado o en grupo para promover la salud mental óptima. Pueden ayudar a las personas que presentan adicciones o toxicomanía, que experimentan problemas familiares, en la crianza de los hijos y maritales, con tendencias suicidas, problemas de manejo del estrés, de autoestima y asuntos relacionados con el envejecimiento y la salud mental y emocional.
21-1015.00	Orientadores para rehabilitación	Proporcionan orientación individual para maximizar la independencia y las posibilidades de empleo de las personas que están haciendo frente a dificultades personales, sociales y profesionales resultantes de defectos congénitos, enfermedades, dolencias, accidentes o las tensiones de la vida cotidiana. Coordinan actividades para residentes de instalaciones de atención y tratamiento. Evalúan las necesidades de los clientes y diseñan y aplican programas de rehabilitación que pueden incluir orientación personal y profesional, y ubicación en empleos.
21-1019.99	Otros orientadores	Todos los orientadores no clasificados bajo otros epígrafes.
21-1021.00	Trabajadores sociales infantiles, familiares y escolares	Proporcionan servicios y asistencia sociales con la finalidad de mejorar el funcionamiento social y psicológico de los niños y sus familias y de maximizar el bienestar familiar y el desempeño académico de los niños. Pueden ayudar a padres solteros, tramitar adopciones, y hallar hogares de acogida para niños abandonados o maltratados. En las escuelas, se ocupan de problemas como el embarazo de adolescentes, mal comportamiento y ausentismo escolar. También pueden asesorar a los profesores acerca del manejo de niños problemáticos.
21-1022.00	Trabajadores sociales médicos y de salud pública	Proporcionan a las personas, familias y poblaciones vulnerables el apoyo psicosocial que requieren para hacer frente a enfermedades crónicas, agudas y terminales, tales como Alzheimer, cáncer y SIDA.  Entre sus servicios se incluye asesorar a los familiares que atienden a los enfermos, brindar educación y orientación a los pacientes y referirlos a otros servicios sociales cuando resulte necesario.
21-1023.00	Trabajadores sociales para salud mental y toxicomanía	Evalúan y tratan a personas con problemas mentales, emocionales y de toxicomanía, incluidos el alcoholismo, el tabaquismo y la adicción a otras sustancias. Entre sus actividades se incluye a los la terapia individual y de grupo, intervención en situaciones de crisis, manejo de casos, promoción de los intereses del cliente, prevención y educación.
21-1029.99	Otros trabajadores sociales	Todos los trabajadores sociales no clasificados bajo otros epígrafes.
21-1091.00	Educadores en materia de salud	Promueven, mantienen y mejoran la salud individual y comunitaria ayudando a las personas y las comunidades a adoptar comportamientos saludables. Recopilan y analizan datos a fin de determinar las necesidades de la comunidad antes de planificar, aplicar, vigilar y evaluar programas encaminados a alentar estilos de vida, políticas y entornos saludables. Pueden también operar como instrumento para ayudar a personas, otros profesionales o la comunidad, y administrar recursos fiscales para programas de educación para la salud.
21-1092.00	Trabajadores sociales para casos de libertad condicional y especialistas en tratamiento correccional	Prestan servicios sociales para ayudar a la rehabilitación de infractores detenidos, en libertad condicional o bajo palabra. Formulan recomendaciones respecto de medidas que requieren la elaboración de planes de rehabilitación y el tratamiento de infractores, incluida la libertad condicional así como estipulaciones respecto de educación y empleo.
21-1093.00	Asistentes de servicios sociales y humanos	Ayudan a profesionales de una amplia gama de campos, tales como psicología, rehabilitación o trabajo social, a prestar servicios a los clientes, así como a dar apoyo a sus familiares.  Pueden ayudar a los clientes a identificar las prestaciones y los servicios sociales y comunitarios disponibles y a obtenerlos. Pueden ayudar a los trabajadores sociales a desarrollar, organizar y ejecutar programas para prevenir y resolver problemas relacionados con toxicomanía, relaciones humanas, rehabilitación o guardería para adultos.
21-1099.99	Otros especialistas en servicios comunitarios y sociales	Todos los especialistas en servicios comunitarios y sociales no clasificados bajo otros epígrafes.
21-2011.00	Clero	Celebran ceremonias religiosas y realizan otras funciones espirituales asociadas con las creencias y prácticas de una fe o confesión religiosa. Brindan orientación y asistencia espiritual y moral a los feligreses.
21-2021.00	Directores, Educación y actividades  religiosas	Dirigen y coordinan actividades de grupos religiosos para hacer frente a las necesidades religiosas de los alumnos. Planifican, dirigen y coordinan programas de la iglesia para fomentar la educación religiosa entre los feligreses. Pueden brindar asesoramiento y orientación relativos a problemas maritales, de salud, financieros y religiosos.
21-2099.00	Trabajadores religiosos, restantes	Todos los trabajadores religiosos no clasificados bajo otros epígrafes.
23-1011.00	Abogados	Representan a los clientes en litigios penales y civiles y otras actuaciones jurídicas, preparan documentos jurídicos  y manejan las transacciones jurídicas o asesoran a los clientes respecto de ellas. Pueden especializarse en un solo campo o practicar abogacía en diversas esferas jurídicas.
23-1021.00	Jueces, árbitros y funcionarios encargados de audiencias en procedimientos administrativos	Llevan a cabo audiencias para dictar o recomendar sentencias sobre demandas relativas a programas oficiales u otros asuntos relacionados con el gobierno y preparan sentencias. Determinan sanciones o la existencia y monto de las obligaciones, o recomiendan que se acepten o rechacen demandas, o soluciones de avenencia.
23-1022.00	Árbitros, mediadores y conciliadores	Facilitan las negociaciones y la solución de conflictos mediante el diálogo. Resuelven conflictos fuera del sistema de tribunales por mutuo acuerdo de las partes involucradas.
23-1023.00	Jueces, jueces magistrados y magistrados	Arbitran, asesoran, juzgan o administran justicia en un tribunal. Pueden sentenciar a acusados en casos penales conforme a los reglamentos oficiales. Pueden determinar la responsabilidad de los acusados en casos civiles. Pueden emitir licencias de matrimonio y realizar ceremonias de casamiento.
23-2011.00	Personal auxiliar jurídico no titulados y titulados	Ayudan a los abogados investigando los precedentes jurídicos, los hechos o preparando los documentos jurídicos. Realizan investigaciones para apoyar las actuaciones jurídicas, formular una defensa o iniciar una acción judicial.
23-2091.00	Relatores de tribunales	Utilizan métodos y equipamiento para actas verbales con el fin de captar, conservar, recuperar y transcribir las actuaciones previas al juicio o durante su desarrollo, u otras informaciones. Se incluye a los subtituladores taquigráficos que operan equipo de subtitulaje estenográfico para proporcionar subtítulos de transmisiones pregrabadas a videntes hipoacúcicos.
23-2092.00	Actuarios de juzgado	Ayudan  a abogados y jueces investigando o preparando documentos jurídicos. Pueden reunirse con los clientes o ayudar a abogados y jueces en los tribunales.
23-2093.00	Investigadores, redactores de resúmenes y examinadores de títulos de propiedad	Revisan los registros de bienes inmuebles, examinan títulos de propiedad y resumen detalles jurídicos o de aseguramiento pertinentes con diversos fines. Pueden recopilar listas de hipotecas, contratos y otros instrumentos relativos a títulos de propiedad revisando registros públicos y privados para firmas de abogados, agencias inmobiliarias o compañías de seguros de títulos de propiedad.
23-2093.01	Investigadores de títulos	Recopilan listas de hipotecas, escrituras, contratos, juicios y otros documentos relacionados con el título de propiedad de los archivos públicos y privados de las compañías de bienes raíces o de seguros.
23-2093.02	Examinadores y compendiadores de títulos	Examinadores de Títulos: Investigan en los archivos públicos y examinan los títulos para determinar  la condición legal del título de propiedad. Copian o hacen un compendio (abstracto) de los documentos registrados que afectan la condición del título de propiedad (por ejemplo: hipotecas, escrituras fiduciarias y contratos). Pueden preparar y expedir polizas que garanticen la legalidad del título. Compendiadores: Resumen los detalles legales o pertinentes al seguro de las secciones de los estatutos o de los precedentes que obtienen en los libros de referencia con el propósito de examinar, probar, o tener preparada dicha referencia. Investigan los títulos para determinar si las escrituras de los mismos son las correctas.
23-2099.99	Otros auxiliares jurídicos	Todos los auxiliares jurídicos no clasificados bajo otros epígrafes.
25-1011.00	Profesores de comercio, enseñanza de nivel superior	Imparten cursos de administración y gestión comerciales, tales como contabilidad, finanzas, recursos humanos, relaciones laborales, comercialización e investigación de operaciones.
25-1021.00	Profesores de ciencias informáticas, enseñanza de nivel superior	Imparten cursos de ciencias informáticas. Pueden especializarse en un campo de las ciencias informáticas, como el diseño y la función de los equipos informáticos o análisis de operaciones e investigaciones.
25-1022.00	Profesores de ciencias matemáticas, enseñanza de nivel superior	Imparten cursos relacionados con conceptos matemáticos, estadísticas y ciencias actuariales y con la aplicación de técnicas matemáticas originales y normalizadas a la solución de situaciones y problemas específicos.
25-1031.00	Profesores de arquitectura, enseñanza de nivel superior	Imparten cursos de arquitectura y diseño arquitectónico, tales como diseño ambiental arquitectónico, diseño/ arquitectura de interiores y arquitectura paisajista.
25-1032.00	Profesores de ingeniería, enseñanza de nivel superior	Imparten cursos relativos a la aplicación de las leyes de la física y los principios de la ingeniería al desarrollo de máquinas, materiales, instrumentos, procesos y servicios. Se incluye a los profesores de asignaturas tales como ingeniería química, civil, eléctrica, industrial, mecánica, mineral y del petróleo. Se incluye a los profesores dedicados fundamentalmente a la enseñanza y también los que combinan la enseñanza y la investigación.
25-1041.00	Profesores de ciencias agropecuarias, enseñanza de nivel superior	Imparten cursos de ciencias agrícolas. Se incluye a los profesores de agronomía, ciencias lecheras, manejo de recursos pesqueros, ciencias hortícolas, ciencias avícolas, manejo de pastos y conservación de suelos agrícolas.
25-1042.00	Profesor de ciencias biológicas, enseñanza de nivel superior	Imparte cursos de ciencias biológicas.
25-1043.00	Profesor de ciencias forestales y ecológicas, enseñanza de nivel superior	Imparte cursos de ciencias ambientales y ecológicas.
25-1051.00	Profesores de ciencias atmosféricas, geológicas, marinas y espaciales, enseñanza de nivel superior	Imparten cursos de ciencias físicas, excepto química y física.
25-1052.00	Profesores de química, enseñanza de nivel superior	Imparten cursos relativos a las propiedades químicas y físicas y los cambios en la composición de las sustancias. En su trabajo puede incluirse la instrucción acerca de los métodos de análisis químico cualitativo y cuantitativo. Se incluye a los profesores dedicados fundamentalmente a la enseñanza y también los que combinan la enseñanza y la investigación.
25-1053.00	Profesores de ciencias ambientales, enseñanza de nivel superior	Imparten cursos de ciencias ambientales.
25-1054.00	Profesores de física, enseñanza de nivel superior	Imparten cursos relativos a la leyes de la materia y la energía. Se incluye a los profesores dedicados fundamentalmente a la enseñanza y también a los que combinan la enseñanza y la investigación.
25-1061.00	Profesores de antropología y arqueología, enseñanza de nivel superior	Imparten cursos de antropología o arqueología.
25-1062.00	Profesores de estudios zonales, étnicos y culturales, enseñanza de nivel superior	Imparten cursos relativos a la cultura y el desarrollo de una zona (eje., América Latina), grupos étnicos o de otro tipo (eje. estudios sobre las mujeres, asuntos urbanos).
25-1063.00	Profesores de economía, enseñanza de nivel superior	Imparten cursos de economía.
25-1064.00	Profesores de geografía, enseñanza de nivel superior	Imparten cursos de geografía.
25-1065.00	Profesores de ciencias políticas, enseñanza de nivel superior	Imparten cursos de ciencias políticas, asuntos internacionales y relaciones internacionales.
25-1066.00	Profesores de psicología, enseñanza de nivel superior	Imparten cursos de psicología, tales como psicología infantil, clínica y del desarrollo, y orientación psicológica.
25-1067.00	Profesores de sociología, enseñanza de nivel superior	Imparten cursos de sociología.
25-1069.99	Otros profesores de ciencias sociales, enseñanza de nivel superior	Todos los profesores de ciencias sociales de enseñanza de nivel superior no clasificados bajo otros epígrafes.
25-1071.00	Profesores de especialidades en materia de salud, enseñanza de nivel superior	Imparten cursos de especialidades en materia de salud, tales como medicina veterinaria, odontología, farmacia, terapia, tecnología de laboratorio y salud pública.
