O*NET-SOC CODE	TITLE	DESCRIPTION
11-9012.00	Granjeros y rancheros	En calidad de propietarios o arrendatarios, operan granjas, ranchos, invernaderos, viveros, extensiones maderables u otros establecimientos de producción agrícola que producen cultivos, especialidades hortícolas, ganado, aves de corral, peces, moluscos y crustáceos o especialidades animales. Se incluye a los operadores de desmotadoras de algodón, de empacadoras y otras operaciones posteriores a la cosecha. Pueden llevar a cabo actividades de siembra, cultivo, cosecha y posteriores a la cosecha, vender cultivos y ganado; pueden contratar, entrenar y supervisar a peones agrícolas o supervisar a un contratista de peones agrícolas; pueden llevar registros de costos, producción y otros.  Pueden dar mantenimiento y operar maquinarias y realizar trabajo físico.
11-9021.00	Gerentes de empresas de construcción	Planifican, dirigen, coordinan y presupuestan, normalmente por intermedio de personal supervisor subordinado, actividades relativas a la construcción y mantenimiento de estructuras, instalaciones y sistemas. Participan en el desarrollo conceptual de un proyecto de construcción y supervisan su organización, programación y ejecución.
11-9031.00	Directores de educación, programa de enseñanza preescolar y de guarderías infantiles	Planifican, dirigen y coordinan las actividades académicas y no académicas de los programas de centros preescolares y guarderías infantiles.
11-9032.00	Directores de educación, enseñanza primaria y secundaria	Planifican, dirigen y coordinan las actividades académicas de oficina y auxiliares en escuelas de enseñanza primaria o secundaria públicas o privadas.
11-9033.00	Directores de educación, enseñanza de nivel superior	Planifican, dirigen y coordinan actividades de investigación, instrucción, administración y servicios estudiantiles, y otras actividades educativas en instituciones de enseñanza secundaria de nivel superior, incluidas, universidades y demás centros de enseñanza superior.
11-9039.99	Otros directores de educación	Todos los directores de educación no clasificados bajo otros epígrafes.
11-9041.00	Profesionales de la ingeniería	Planifican, dirigen y coordinan actividades en campos tales como arquitectura e ingeniería o investigación y desarrollo en esos campos.
11-9051.00	Gerentes de empresas de restauración	Planifican, dirigen y coordinan actividades de una organización o departamento que sirve alimentos y bebidas.
11-9061.00	Directores de pompas fúnebres	Realizan diversas tareas en los preparativos y dirección de los servicios fúnebres, tales como coordinar el transporte del cadáver a la funeraria para embalsamarlo, entrevistar a los familiares o a la persona autorizada para acordar los detalles, seleccionar a los portadores del féretro, procurar a la persona que se encargue de la ceremonia religiosa y proporcionar transporte a los dolientes.
11-9071.00	Gerentes de salones de juego	Planifican, organizan, dirigen, controlan y coordinan las operaciones de juego en los casinos. Formulan políticas de juego en su esfera de responsabilidad.
11-9081.00	Gerentes de alojamiento	Planifican,  dirigen o coordinan las actividades de una organización o departamento que proporciona alojamiento y otros tipos de hospedaje.
11-9111.00	Directores de servicios médicos y de salud	Planifican,  dirigen y coordinan los servicios médicos y de salud en hospitales, clínicas, organizaciones de atención de salud dirigida, organismos de salud pública u otras organizaciones similares.
11-9121.00	Profesionales de las ciencias naturales	Planifican,  dirigen y coordinan actividades en esferas tales como ciencias biológicas, físicas, matemáticas, estadísticas e investigación y desarrollo en dichas esferas.
11-9131.00	Jefes de oficinas postales y superintendentes de correos	Dirigen y coordinan los servicios operacionales, administrativos, de gestión y de apoyo de una oficina de correos de los Estados Unidos y coordinan las actividades de los trabajadores que se dedican a los servicios postales y afines de la oficina postal a la que están asignados.
11-9141.00	Gerentes de propiedades, inmobiliarias y de asociaciones comunitarias	Planifican, dirigen y coordinan las actividades de compra, venta, arriendo y administración de propiedades inmobiliarias comerciales, industriales o residenciales.
11-9151.00	Directores de servicios sociales y comunitarios	Planifican, organizan y coordinan las actividades de un programa de servicios sociales o de una organización de extensión comunitaria. Supervisan el programa y el presupuesto y las políticas de la organización respecto de la participación de los interesados, necesidades del programa y prestaciones. Entre los deberes del cargo está dirigir a los trabajadores sociales, orientadores y encargados del seguimiento de los casos con libertad condicional.
11-9199.99	Otros profesionales	Todos los profesionales no clasificados bajo otros epígrafes.
13-1011.00	Agentes y empresarios de artistas, intérpretes y atletas	Representan y promueven a artistas, intérpretes y atletas ante posibles empleadores. Pueden manejar negociaciones de contratos y otros asuntos de negocios para sus clientes.
13-1021.00	Compradores y agentes de compras, productos agropecuarios	Compran productos agropecuarios ya sea para su procesamiento ulterior o para reventa.
13-1022.00	Compradores mayoristas y minoristas, excepto productos agropecuarios	Compran mercancías o productos básicos no agropecuarios, para revenderlos a los consumidores en el nivel mayorista o minorista, incluidos los bienes duraderos y los perecederos. Analizan tendencias de compras de períodos anteriores, registros de ventas, precios y calidad de las mercancías a fin de determinar el valor y el rendimiento. Seleccionan, ordenan y autorizan el pago por la mercancía conforme a los acuerdos contractuales. Pueden celebrar reuniones con el personal de ventas e introducir nuevos productos.
13-1023.00	Agentes de compras, excepto mayoristas, minoristas y productos agropecuarios	Compran maquinaria, equipos, herramientas, piezas, suministros y servicios necesarios para el funcionamiento de un establecimiento. Compran materias primas o semiterminadas para su procesamiento.
13-1031.00	Liquidadores de indemnizaciones, examinadores e investigadores	Examinan reclamaciones resueltas para determinar si los pagos y las liquidaciones de cuentas se efectuaron conforme a las prácticas y procedimientos de la compañía, garantizando que se hayan seguido los métodos apropiados. Informan en caso de exceso o defecto en los pagos y otras irregularidades. Sostienen intercambios con los asesores jurídicos en los casos de reclamaciones que requieren litigio.
13-1031.01	Evaluadores de reclamos de seguros de propiedad y contra accidentes	Revisan las reclamaciones sobre seguros que ya han sido resueltos para verificar que los pagos y los acuerdos se hayan realizado de acuerdo con las prácticas y procedimientos de la compañía. Reportan pagos excesivos, pagos inferiores a lo debido y otras irregularidades. Solicitan asesoría legal respecto a reclamos que requieren de acción judicial.
13-1031.02	Ajustadores, evaluadores e investigadores de seguros	Investigan, analizan y determinan la obligación legal de la compañía de seguros con respecto a pérdidas o daños personales, accidentes, o daños de propiedad y tratan de llegar a un acuerdo con los demandantes. Entrevistan o mantienen contacto con especialistas médicos, agentes, testigos o demandantes para recopilar información. Calculan el pago de la indemnización y aprueban el pago de los reclamos que tienen un cierto límite monetario.
13-1032.00	Tasadores de seguros, daños a autos	Tasan los daños a automóviles u otros vehículos para determinar el costo de las reparaciones con el fin de liquidar reclamaciones de seguro y tratan de llegar a acuerdos con los talleres de reparaciones de autos sobre el costo de los trabajos.  Preparan formularios de seguros donde se reflejan el costo o las estimaciones de costo de las reparaciones y las recomendaciones.
13-1041.00	Agentes para la verificación del cumplimiento, excepto agricultura, construcción, salud y seguridad, y transporte	Examinan, evalúan e investigan la idoneidad o la conformidad con las leyes y reglamentos que rigen el cumplimiento contractual de licencias y permisos, y llevan a cabo otras actividades de inspección de cumplimiento y aplicación de la ley que no se clasifican en otra parte.
13-1041.01	Inspectores del medio ambiente	Revisan e investigan fuentes de contaminación ambiental para así poder proteger al público y al medio ambiente y además se aseguran de que se cumplan las normas y reglamentos federales, estatales y locales.
13-1041.02	Evaluadores e inspectores que otorgan permisos	Examinan, investigan y evalúan que se reúnan los requisitos necesarios para obtener una licencia o permiso, que se esté en conformidad con los mismos, y el grado de responsabilidad que tiene una persona que obtiene dicho permiso.
